chinese,english,source,refs_list
依草附木,to rely on someone more powerful or influential for support or protection,JSON,['to rely on someone more powerful or influential for support or protection']
吃穿用度,basic necessities of life,JSON,['basic necessities of life']
千刀万剐,to be badly hurt or injured,JSON,['to be badly hurt or injured']
凤毛麟角,extremely rare or valuable; like a phoenix feather or a unicorn's horn,JSON,"['extremely rare or valuable', ""like a phoenix feather or a unicorn's horn""]"
含辛茹苦,enduring hardships and suffering,JSON,['enduring hardships and suffering']
残民以逞,inflicting harm on the weak or vulnerable without fear of consequences,JSON,['inflicting harm on the weak or vulnerable without fear of consequences']
千古奇谈,an extraordinary and fascinating story or event that will be talked about for generations,JSON,['an extraordinary and fascinating story or event that will be talked about for generations']
绿林强盗,a group of criminals who operate in the wilderness or forest,JSON,['a group of criminals who operate in the wilderness or forest']
随遇而安,being content with whatever circumstances one encounters,JSON,['being content with whatever circumstances one encounters']
吃苦耐劳,to be able to endure hardships and work hard,JSON,['to be able to endure hardships and work hard']
头头是道,organized and methodical; speaking in a logical and coherent manner,JSON,"['organized and methodical', 'speaking in a logical and coherent manner']"
爱财如命,to love money more than one's own life,JSON,"[""to love money more than one's own life""]"
恭贺新禧,wishing you happiness and prosperity in the new year,JSON,['wishing you happiness and prosperity in the new year']
惟命是听,to obey every command without question,JSON,['to obey every command without question']
一笔抹煞,to wipe out or erase completely; to nullify or negate completely,JSON,"['to wipe out or erase completely', 'to nullify or negate completely']"
形销骨立,emaciated and weak in appearance,JSON,['emaciated and weak in appearance']
三姑六婆,gossipy and meddlesome women who like to interfere in other people's affairs,JSON,"[""gossipy and meddlesome women who like to interfere in other people's affairs""]"
群起而攻之,being attacked by a group of people simultaneously,JSON,['being attacked by a group of people simultaneously']
管窥蠡测,to make hasty judgments based on limited or superficial observations,JSON,['to make hasty judgments based on limited or superficial observations']
财大气粗,"being rich and powerful, and acting arrogantly",JSON,"['being rich and powerful, and acting arrogantly']"
牛衣对泣,to sympathize and empathize with someone in a desperate situation,JSON,['to sympathize and empathize with someone in a desperate situation']
拖人下水,dragging others down with oneself,JSON,['dragging others down with oneself']
在官言官,speaking based on one's position or authority,JSON,"[""speaking based on one's position or authority""]"
死得其所,to die in a suitable or appropriate way,JSON,['to die in a suitable or appropriate way']
初出茅庐,being inexperienced and new to a field or task,JSON,['being inexperienced and new to a field or task']
无济于事,"ineffective, useless",JSON,"['ineffective, useless']"
像模像样,proper and decent; in a satisfactory manner,JSON,"['proper and decent', 'in a satisfactory manner']"
桀骜难驯,difficult to tame and control,JSON,['difficult to tame and control']
寅吃卯粮,"Using up resources for the future, in a reckless or irresponsible manner",JSON,"['using up resources for the future, in a reckless or irresponsible manner']"
灰头土脸,looking disheveled and embarrassed,JSON,['looking disheveled and embarrassed']
别无选择,no other choice/option,JSON,['no other choice/option']
图穷匕见,Revealing one's true colors when in a desperate situation; revealing one's true intentions or nature when all options have been exhausted,JSON,"[""revealing one's true colors when in a desperate situation"", ""revealing one's true intentions or nature when all options have been exhausted""]"
地动山摇,cataclysmic; earth-shattering; describes a major event or change that has significant impact,JSON,"['cataclysmic', 'earth-shattering', 'describes a major event or change that has significant impact']"
骑虎难下,being in a difficult situation and finding it hard to get out,JSON,['being in a difficult situation and finding it hard to get out']
惊涛怒浪,stormy waves and angry surges,JSON,['stormy waves and angry surges']
和气致祥,a harmonious and peaceful atmosphere that brings about auspiciousness,JSON,['a harmonious and peaceful atmosphere that brings about auspiciousness']
莫可名状,indescribable or beyond description,JSON,['indescribable or beyond description']
狗眼看人低,to look down upon others or underestimate others,JSON,['to look down upon others or underestimate others']
惟所欲为,do whatever one wants,JSON,['do whatever one wants']
温情脉脉,expressing deep affection or tenderness,JSON,['expressing deep affection or tenderness']
害群之马,"a troublemaker or black sheep, someone who causes harm to a group",JSON,"['a troublemaker or black sheep, someone who causes harm to a group']"
名胜古迹,famous scenic spots or historical sites,JSON,['famous scenic spots or historical sites']
人不为己，天诛地灭,"If a person is not acting for his own interests, the heavens will destroy him and the earth will annihilate him.",JSON,"['if a person is not acting for his own interests, the heavens will destroy him and the earth will annihilate him.']"
光明正大,"openly and honestly, without any hidden agenda or wrongdoing",JSON,"['openly and honestly, without any hidden agenda or wrongdoing']"
悲愤填膺,filled with grief and indignation,JSON,['filled with grief and indignation']
饱经忧患,having experienced numerous troubles and hardships,JSON,['having experienced numerous troubles and hardships']
锦衣玉食,live a luxurious life with fine clothes and delicious food,JSON,['live a luxurious life with fine clothes and delicious food']
粉妆玉琢,"""wearing beautiful clothes and exquisite jewelry"", typically used to describe a woman who is dressed up and looks gorgeous",JSON,['wearing beautiful clothes and exquisite jewelry']
誓死不二,"to remain unwavering and steadfast, pledging to never change or betray one's beliefs or principles",JSON,"[""to remain unwavering and steadfast, pledging to never change or betray one's beliefs or principles""]"
妨功害能,harm one's own interests while trying to harm others,JSON,"[""harm one's own interests while trying to harm others""]"
旋转乾坤,to completely change a situation or reverse the outcome,JSON,['to completely change a situation or reverse the outcome']
作奸犯科,to engage in illegal and immoral activities,JSON,['to engage in illegal and immoral activities']
浩然之气,the righteous and noble spirit,JSON,['the righteous and noble spirit']
干净利落,neat and tidy; efficient and decisive,JSON,"['neat and tidy', 'efficient and decisive']"
风月无边,an endless enjoyment of beautiful scenery and romantic encounters,JSON,['an endless enjoyment of beautiful scenery and romantic encounters']
建功立业,achieving great success and making significant contributions,JSON,['achieving great success and making significant contributions']
一往无前,"unstoppable, forging ahead without hesitation or doubt",JSON,"['unstoppable, forging ahead without hesitation or doubt']"
两手空空,empty-handed; having nothing,JSON,"['empty-handed', 'having nothing']"
深入浅出,to explain complex concepts in simple terms,JSON,['to explain complex concepts in simple terms']
言而无信,not keeping one's word; being dishonest in words,JSON,"[""not keeping one's word"", 'being dishonest in words']"
投机倒把,Engaging in speculative and opportunistic behavior,JSON,['engaging in speculative and opportunistic behavior']
尽善尽美,to strive for perfection,JSON,['to strive for perfection']
代代相传,passed down from generation to generation,JSON,['passed down from generation to generation']
枯木逢春,unexpectedly encountering a new opportunity or hope in a dire situation,JSON,['unexpectedly encountering a new opportunity or hope in a dire situation']
挨冻受饿,to suffer from cold and hunger,JSON,['to suffer from cold and hunger']
绕梁三日,lingering in one's mind for several days,JSON,"[""lingering in one's mind for several days""]"
邪门歪道,unconventional or deceitful methods,JSON,['unconventional or deceitful methods']
返朴归真,"return to simplicity and truth; return to one's original, unpretentious nature",JSON,"['return to simplicity and truth', ""return to one's original, unpretentious nature""]"
挖空心思,putting in a lot of effort and thoughts,JSON,['putting in a lot of effort and thoughts']
虎狼之势,the powerful and fierce momentum of a tiger and a wolf,JSON,['the powerful and fierce momentum of a tiger and a wolf']
求全之毁,destructive perfectionism,JSON,['destructive perfectionism']
俯首帖耳,to listen attentively and obediently,JSON,['to listen attentively and obediently']
恶声恶气,hateful and malicious words and actions,JSON,['hateful and malicious words and actions']
家长里短,trivial matters within the family,JSON,['trivial matters within the family']
高唱入云,reaching great heights and achieving tremendous success,JSON,['reaching great heights and achieving tremendous success']
一马当先,taking the lead or being in the forefront,JSON,['taking the lead or being in the forefront']
敏而好学,quick-witted and eager to learn,JSON,['quick-witted and eager to learn']
敷衍了事,"doing something in a perfunctory or superficial manner, just to get it done",JSON,"['doing something in a perfunctory or superficial manner, just to get it done']"
智勇双全,possess both wisdom and bravery,JSON,['possess both wisdom and bravery']
鸣锣开道,"""clear the way"", ""pave the way"", or ""prepare the way""",JSON,"['clear the way', 'pave the way', 'prepare the way']"
画中有诗,being able to find inspiration and deeper meaning within a painting,JSON,['being able to find inspiration and deeper meaning within a painting']
肤如凝脂,"having smooth and delicate skin, like condensed fat",JSON,"['having smooth and delicate skin, like condensed fat']"
辙乱旗靡,a chaotic situation or a scene of confusion,JSON,['a chaotic situation or a scene of confusion']
难能可贵,rare and valuable,JSON,['rare and valuable']
一干二净,completely and thoroughly,JSON,['completely and thoroughly']
本位主义,self-centeredness; putting one's own interests above others,JSON,"['self-centeredness', ""putting one's own interests above others""]"
初露锋芒,to show one's talent or abilities for the first time,JSON,"[""to show one's talent or abilities for the first time""]"
珠围翠绕,surrounded by beautiful and precious things,JSON,['surrounded by beautiful and precious things']
解放思想,liberate one's mind,JSON,"[""liberate one's mind""]"
浓眉大眼,thick eyebrows and big eyes,JSON,['thick eyebrows and big eyes']
天摇地动,a situation where everything is in chaos or turmoil,JSON,['a situation where everything is in chaos or turmoil']
错落有致,"neat and well-designed, with an artistic arrangement",JSON,"['neat and well-designed, with an artistic arrangement']"
金童玉女,an ideal couple; a perfect match,JSON,"['an ideal couple', 'a perfect match']"
朱唇皓齿,lips like beautiful red corals and teeth as white as jade,JSON,['lips like beautiful red corals and teeth as white as jade']
好汉不吃眼前亏,A hero doesn't suffer immediate losses.,JSON,"[""a hero doesn't suffer immediate losses.""]"
如醉如痴,"totally infatuated, completely mesmerized",JSON,"['totally infatuated, completely mesmerized']"
沽名钓誉,seeking fame and reputation by using deceptive means; trying to gain recognition and praise through insincere or dishonest actions,JSON,"['seeking fame and reputation by using deceptive means', 'trying to gain recognition and praise through insincere or dishonest actions']"
悲喜交集,mixed feelings of joy and sorrow,JSON,['mixed feelings of joy and sorrow']
独善其身,only concerned with one's own well-being and not caring about others,JSON,"[""only concerned with one's own well-being and not caring about others""]"
言谈举止,speech and behavior,JSON,['speech and behavior']
无所措手足,"at a loss, not knowing what to do",JSON,"['at a loss, not knowing what to do']"
知书达礼,"knowledgeable and well-mannered, possessing both intellectual knowledge and social etiquette",JSON,"['knowledgeable and well-mannered, possessing both intellectual knowledge and social etiquette']"
剪草除根,eliminate the root,JSON,['eliminate the root']
衣锦还乡,returning home in glory and splendor,JSON,['returning home in glory and splendor']
七手八脚,being clumsily and uncoordinated; everyone being in the way,JSON,"['being clumsily and uncoordinated', 'everyone being in the way']"
乍暖还寒,"Unpredictable, with sudden changes",JSON,"['unpredictable, with sudden changes']"
熟视无睹,turning a blind eye; willfully ignoring something familiar or obvious,JSON,"['turning a blind eye', 'willfully ignoring something familiar or obvious']"
漠然置之,to be indifferent or apathetic towards something,JSON,['to be indifferent or apathetic towards something']
因势利导,making use of the situation to one's advantage,JSON,"[""making use of the situation to one's advantage""]"
意气洋洋,be full of confidence and high spirits,JSON,['be full of confidence and high spirits']
孜孜不倦,being diligent and tireless in pursuing one's goals,JSON,"[""being diligent and tireless in pursuing one's goals""]"
烂醉如泥,"get extremely drunk, in a state of complete intoxication",JSON,"['get extremely drunk, in a state of complete intoxication']"
不攻自破,defeat oneself without any external effort,JSON,['defeat oneself without any external effort']
异曲同工,different approaches leading to the same result,JSON,['different approaches leading to the same result']
安身之地,a place to settle down and call home,JSON,['a place to settle down and call home']
吹吹打打,to have a superficial or casual approach towards something,JSON,['to have a superficial or casual approach towards something']
事与愿违,things don't go as planned,JSON,"[""things don't go as planned""]"
时来运转,fortunes change; luck turns around,JSON,"['fortunes change', 'luck turns around']"
如鱼得水,feel completely at ease; find oneself in a favorable or comfortable situation,JSON,"['feel completely at ease', 'find oneself in a favorable or comfortable situation']"
百年好合,a wish for a hundred years of harmonious and happy marriage,JSON,['a wish for a hundred years of harmonious and happy marriage']
敢怒而不敢言,bold in attitude but afraid to speak out,JSON,['bold in attitude but afraid to speak out']
纹丝不动,"unchanged, not moving an inch, showing no reaction",JSON,"['unchanged, not moving an inch, showing no reaction']"
一觞一咏,to sing a poem after drinking a toast; also refers to a spontaneous and improvised expression or performance,JSON,"['to sing a poem after drinking a toast', 'also refers to a spontaneous and improvised expression or performance']"
触景伤情,be emotionally affected by what one sees,JSON,['be emotionally affected by what one sees']
梳妆打扮,"""dressing up"" or ""primping""",JSON,"['dressing up', 'primping']"
浮光掠影,A fleeting glimpse or superficial understanding,JSON,['a fleeting glimpse or superficial understanding']
寿终正寝,dying peacefully in old age,JSON,['dying peacefully in old age']
心手相应,coordination between the mind and the hand,JSON,['coordination between the mind and the hand']
谦谦君子,a modest and humble gentleman,JSON,['a modest and humble gentleman']
性命交关,a matter of life and death,JSON,['a matter of life and death']
学贯中西,being well-versed in both Chinese and Western knowledge,JSON,['being well-versed in both chinese and western knowledge']
难如登天,"extremely difficult, like climbing up to the sky",JSON,"['extremely difficult, like climbing up to the sky']"
心乡往之,eagerly yearning for something or someone in one's heart,JSON,"[""eagerly yearning for something or someone in one's heart""]"
竭泽而渔,to exhaust the resources for one's own gain,JSON,"[""to exhaust the resources for one's own gain""]"
兹事体大,an affair of great importance or gravity,JSON,['an affair of great importance or gravity']
幕天席地,"creating a grand scene, referring to a magnificent landscape or spectacular setting",JSON,"['creating a grand scene, referring to a magnificent landscape or spectacular setting']"
一笑置之,to dismiss or treat something (usually a problem or criticism) with a smile and ignore it,JSON,"['to dismiss or treat something ,usually a problem or criticism with a smile and ignore it']"
振聋发聩,"to shock or awaken the deaf and make the blind hear, used to describe something or someone that has a profound impact or is highly influential",JSON,"['to shock or awaken the deaf and make the blind hear, used to describe something or someone that has a profound impact or is highly influential']"
不顾大局,not considering the overall situation; selfishly pursuing one's own interests without considering the broader impact or consequences,JSON,"['not considering the overall situation', ""selfishly pursuing one's own interests without considering the broader impact or consequences""]"
不可造次,not to act rashly or hastily,JSON,['not to act rashly or hastily']
绰绰有余,"more than enough, with ample to spare",JSON,"['more than enough, with ample to spare']"
曾经沧海,having experienced great changes and challenges in the past,JSON,['having experienced great changes and challenges in the past']
乘龙佳婿,marrying into a wealthy and influential family,JSON,['marrying into a wealthy and influential family']
有头无尾,"having a beginning but no end, incomplete or unfinished",JSON,"['having a beginning but no end, incomplete or unfinished']"
一刻千金,extremely precious or valuable time,JSON,['extremely precious or valuable time']
云消雾散,disappear or dissipate like clouds and mist,JSON,['disappear or dissipate like clouds and mist']
彰明较著,clear and distinct; obvious,JSON,"['clear and distinct', 'obvious']"
不吝赐教,willing to generously offer advice or guidance,JSON,['willing to generously offer advice or guidance']
美意延年,Extend one's lifespan through acts of kindness and good deeds.,JSON,"[""extend one's lifespan through acts of kindness and good deeds.""]"
骨瘦如柴,extremely thin; emaciated,JSON,"['extremely thin', 'emaciated']"
卓有成效,remarkably effective or productive,JSON,['remarkably effective or productive']
史无前例,unprecedented; never seen or heard of before,JSON,"['unprecedented', 'never seen or heard of before']"
一钱不值,"worthless, not worth a penny",JSON,"['worthless, not worth a penny']"
不义之财,ill-gotten gains; wealth acquired through unjust or dishonest means,JSON,"['ill-gotten gains', 'wealth acquired through unjust or dishonest means']"
非同儿戏,Not child's play; not something to be taken lightly,JSON,"[""not child's play"", 'not something to be taken lightly']"
人间地狱,hell on earth,JSON,['hell on earth']
破镜重圆,"reuniting after a breakup or separation, like how a broken mirror is repaired and becomes whole again",JSON,"['reuniting after a breakup or separation, like how a broken mirror is repaired and becomes whole again']"
意气飞扬,full of enthusiasm and pride,JSON,['full of enthusiasm and pride']
七拼八凑,"gathering and assembling resources from different places in order to make do or complete something, often in a haphazard or makeshift way",JSON,"['gathering and assembling resources from different places in order to make do or complete something, often in a haphazard or makeshift way']"
负重致远,to bear heavy responsibilities in order to achieve great success,JSON,['to bear heavy responsibilities in order to achieve great success']
若隐若现,to appear and disappear in a vague and elusive manner,JSON,['to appear and disappear in a vague and elusive manner']
久别重逢,reunion after a long separation,JSON,['reunion after a long separation']
人之常情,common human behavior or reaction,JSON,['common human behavior or reaction']
脉脉含情,gazing affectionately with deep meaning,JSON,['gazing affectionately with deep meaning']
岁月如流,time flies,JSON,['time flies']
好言好语,"pleasant words, kind words",JSON,"['pleasant words, kind words']"
万不得已,as a last resort; only when there is no other choice,JSON,"['as a last resort', 'only when there is no other choice']"
鼓足干劲,to be full of enthusiasm and energy,JSON,['to be full of enthusiasm and energy']
韬晦之计,a strategy of hiding one's abilities and intentions,JSON,"[""a strategy of hiding one's abilities and intentions""]"
论功行封,rewarding someone based on their actual achievements and contributions,JSON,['rewarding someone based on their actual achievements and contributions']
固执己见,being stubborn and insisting on one's own opinions,JSON,"[""being stubborn and insisting on one's own opinions""]"
内顾之忧,internal troubles or worries,JSON,['internal troubles or worries']
炊金馔玉,extravagant and luxurious meals,JSON,['extravagant and luxurious meals']
知难而进,have the courage to face difficulties and move forward,JSON,['have the courage to face difficulties and move forward']
轰轰烈烈,"dramatic and spectacular, with great force and intensity",JSON,"['dramatic and spectacular, with great force and intensity']"
接二连三,happening one after another; occurring in rapid succession,JSON,"['happening one after another', 'occurring in rapid succession']"
夹七夹八,"being in a dilemma or uncertain situation, being unable to decide between two options",JSON,"['being in a dilemma or uncertain situation, being unable to decide between two options']"
积重难返,The situation has become so difficult that it is hard to turn back; the consequences of previous actions have become too severe to be easily undone,JSON,"['the situation has become so difficult that it is hard to turn back', 'the consequences of previous actions have become too severe to be easily undone']"
客死他乡,dying in a foreign land,JSON,['dying in a foreign land']
相逢恨晚,to meet someone and feel regret that it happened too late,JSON,['to meet someone and feel regret that it happened too late']
优哉游哉,leisurely and carefree; living a pleasant and relaxed life,JSON,"['leisurely and carefree', 'living a pleasant and relaxed life']"
扬扬自得,proud and self-satisfied,JSON,['proud and self-satisfied']
毫不介意,"not minding at all, being completely indifferent",JSON,"['not minding at all, being completely indifferent']"
狗仗人势,relying on someone else's power and influence to intimidate others,JSON,"[""relying on someone else's power and influence to intimidate others""]"
以勤补拙,Compensating for lack of talent or skill with diligence and hard work,JSON,['compensating for lack of talent or skill with diligence and hard work']
掎裳连袂,holding a woman's dress in one hand and linking arms in the other,JSON,"[""holding a woman's dress in one hand and linking arms in the other""]"
风轻云淡,"being indifferent and nonchalant, not concerned with worldly matters",JSON,"['being indifferent and nonchalant, not concerned with worldly matters']"
利害得失,weighing the pros and cons,JSON,['weighing the pros and cons']
欢蹦乱跳,jumping and hopping with joy,JSON,['jumping and hopping with joy']
宏图大志,ambitious aspirations or grand plans,JSON,['ambitious aspirations or grand plans']
展翅高飞,spread wings and soar,JSON,['spread wings and soar']
人心所向,the direction of public opinion,JSON,['the direction of public opinion']
口不应心,to say one thing but mean another,JSON,['to say one thing but mean another']
扬清激浊,to promote the good and dispel the bad,JSON,['to promote the good and dispel the bad']
丰富多彩,rich and colorful; varied and diverse,JSON,"['rich and colorful', 'varied and diverse']"
人心所归,win the hearts of the people,JSON,['win the hearts of the people']
如出一辙,exactly the same; identical; no difference,JSON,"['exactly the same', 'identical', 'no difference']"
肉跳心惊,feeling scared and panicky,JSON,['feeling scared and panicky']
大庭广众,in a public or open area where many people are present,JSON,['in a public or open area where many people are present']
坐地分赃,splitting stolen goods while sitting on the ground,JSON,['splitting stolen goods while sitting on the ground']
大起大落,"a significant rise and fall, often referring to someone's fortunes or emotions fluctuating dramatically",JSON,"[""a significant rise and fall, often referring to someone's fortunes or emotions fluctuating dramatically""]"
亭亭玉立,standing tall and beautiful,JSON,['standing tall and beautiful']
大模大样,"to act with great confidence and arrogance, to have an air of superiority",JSON,"['to act with great confidence and arrogance, to have an air of superiority']"
面目全非,completely different from its original appearance,JSON,['completely different from its original appearance']
饿莩遍野,starving and searching all over the place,JSON,['starving and searching all over the place']
赤地千里,an arduous journey or task that requires crossing a vast and barren land,JSON,['an arduous journey or task that requires crossing a vast and barren land']
通古博今,Having a deep understanding of both history and the present,JSON,['having a deep understanding of both history and the present']
怒不可遏,unable to suppress one's anger,JSON,"[""unable to suppress one's anger""]"
见钱眼开,be motivated by money; have one's eyes light up at the sight of money,JSON,"['be motivated by money', ""have one's eyes light up at the sight of money""]"
铮铮铁汉,strong and resolute person,JSON,['strong and resolute person']
鼎足而立,"""stand equal in power"" or ""stand side by side in equal status""",JSON,"['stand equal in power', 'stand side by side in equal status']"
必经之路,a necessary or inevitable path that one must go through,JSON,['a necessary or inevitable path that one must go through']
好整以暇,calm and leisurely; be composed and unruffled,JSON,"['calm and leisurely', 'be composed and unruffled']"
取长补短,Learn from others' strengths to offset one's own weaknesses,JSON,"[""learn from others' strengths to offset one's own weaknesses""]"
义薄云天,"to be deeply loyal and willing to help others, regardless of the difficulties or distance involved",JSON,"['to be deeply loyal and willing to help others, regardless of the difficulties or distance involved']"
玉树琼枝,a person of outstanding talent or exceptional beauty,JSON,['a person of outstanding talent or exceptional beauty']
河东狮吼,a hollow show of strength or intimidation without any real substance or power,JSON,['a hollow show of strength or intimidation without any real substance or power']
玲珑剔透,exquisitely beautiful and transparent,JSON,['exquisitely beautiful and transparent']
枪林弹雨,a situation of intense gunfire and chaos,JSON,['a situation of intense gunfire and chaos']
心若死灰,a heart as cold as ashes; completely devoid of hope or passion,JSON,"['a heart as cold as ashes', 'completely devoid of hope or passion']"
积羽沉舟,to burn the boats and bridges,JSON,['to burn the boats and bridges']
豆蔻年华,the prime years of one's youth,JSON,"[""the prime years of one's youth""]"
旭日东升,a promising or prosperous future.,JSON,['a promising or prosperous future.']
来之不易,not easy to come by,JSON,['not easy to come by']
长此以往,"if this goes on for a long time, if this continues",JSON,"['if this goes on for a long time, if this continues']"
苛捐杂税,excessive and burdensome taxes and levies,JSON,['excessive and burdensome taxes and levies']
难分难舍,"finding it difficult to separate or let go, being in a situation where it is hard to make a choice or decision",JSON,"['finding it difficult to separate or let go, being in a situation where it is hard to make a choice or decision']"
震撼人心,to profoundly shock or move people,JSON,['to profoundly shock or move people']
咬文嚼字,"""nitpicking"", ""overly pedantic"", or ""obsessed with details""",JSON,"['nitpicking', 'overly pedantic', 'obsessed with details']"
德厚流光,Virtue shines brightly and widely,JSON,['virtue shines brightly and widely']
表面文章,superficial actions or gestures; only focusing on appearances without real substance,JSON,"['superficial actions or gestures', 'only focusing on appearances without real substance']"
一哄而起,suddenly or quickly stand up with a loud noise or uproar,JSON,['suddenly or quickly stand up with a loud noise or uproar']
好逸恶劳,preferring ease and despising hard work,JSON,['preferring ease and despising hard work']
说长论短,to criticize or comment extensively on something,JSON,['to criticize or comment extensively on something']
另请高明,to seek someone more competent or skilled to handle a particular task,JSON,['to seek someone more competent or skilled to handle a particular task']
半饥半饱,"half hungry, half full",JSON,"['half hungry, half full']"
物是人非,"everything remains the same, but people have changed",JSON,"['everything remains the same, but people have changed']"
前因后果,cause and effect; the relationship between an action or event and its consequences,JSON,"['cause and effect', 'the relationship between an action or event and its consequences']"
顶天立地,standing tall and unyielding; upright and righteous,JSON,"['standing tall and unyielding', 'upright and righteous']"
喧宾夺主,to overshadow or take over someone else's position or role,JSON,"[""to overshadow or take over someone else's position or role""]"
认祖归宗,returning to one's roots and ancestral traditions,JSON,"[""returning to one's roots and ancestral traditions""]"
花好月圆,"an ideal and harmonious state, often used to describe a happy and blissful marriage or life",JSON,"['an ideal and harmonious state, often used to describe a happy and blissful marriage or life']"
成事不足，败事有余,"be incompetent in achieving success, but capable of causing failure",JSON,"['be incompetent in achieving success, but capable of causing failure']"
不足与谋,not worth consulting or seeking advice from,JSON,['not worth consulting or seeking advice from']
强奸民意,forcefully impose one's own will against the wishes or interests of the people,JSON,"[""forcefully impose one's own will against the wishes or interests of the people""]"
化整为零,"divide a whole or a larger task into smaller, more manageable parts",JSON,"['divide a whole or a larger task into smaller, more manageable parts']"
堂堂正正,upright and honorable,JSON,['upright and honorable']
山雨欲来风满楼,a situation where an impending disaster or trouble is evident and can be sensed from the signs and omens around,JSON,['a situation where an impending disaster or trouble is evident and can be sensed from the signs and omens around']
望闻问切,to inquire in detail about everything one sees and hears,JSON,['to inquire in detail about everything one sees and hears']
如梦初醒,to suddenly realize the truth; to wake up from a dream-like state,JSON,"['to suddenly realize the truth', 'to wake up from a dream-like state']"
鱼龙混杂,"a mix of good and bad, with both genuine and deceitful people present",JSON,"['a mix of good and bad, with both genuine and deceitful people present']"
三天打鱼，两天晒网,occasionally doing some work while mostly idling or being lazy,JSON,['occasionally doing some work while mostly idling or being lazy']
措手不及,caught off guard or unprepared,JSON,['caught off guard or unprepared']
大步流星,walking with long strides and fast pace,JSON,['walking with long strides and fast pace']
暗渡陈仓,conducting secret operations to achieve a goal without the knowledge or awareness of others,JSON,['conducting secret operations to achieve a goal without the knowledge or awareness of others']
残山剩水,"""the remnants of something"" or ""a meager amount left""",JSON,"['the remnants of something', 'a meager amount left']"
守口如瓶,keeping one's lips tightly sealed and not revealing any secrets,JSON,"[""keeping one's lips tightly sealed and not revealing any secrets""]"
老鼠过街，人人喊打,"When a rat crosses the street, everyone shouts to beat it.",JSON,"['when a rat crosses the street, everyone shouts to beat it.']"
君子好逑,Gentlemen admire beautiful women,JSON,['gentlemen admire beautiful women']
片甲不留,"""leaving no man alive"", meaning to fight to the death and not leaving any survivors",JSON,['leaving no man alive']
说曹操，曹操就到,Speak of the devil and he appears,JSON,['speak of the devil and he appears']
大旱望云霓,hoping for a miracle when faced with a desperate situation,JSON,['hoping for a miracle when faced with a desperate situation']
见惯不惊,"being accustomed to and unaffected by what one sees, experiencing something so often that it no longer surprises or shocks",JSON,"['being accustomed to and unaffected by what one sees, experiencing something so often that it no longer surprises or shocks']"
不知死活,to be completely ignorant or clueless,JSON,['to be completely ignorant or clueless']
佶屈聱牙,"Speaking incoherently and unintelligibly, with words that are difficult to understand",JSON,"['speaking incoherently and unintelligibly, with words that are difficult to understand']"
夫唱妇随,"husband sings, wife follows",JSON,"['husband sings, wife follows']"
藏巧于拙,to hide one's skills and abilities behind a facade of simplicity,JSON,"[""to hide one's skills and abilities behind a facade of simplicity""]"
荒诞无稽,absurd and nonsensical,JSON,['absurd and nonsensical']
不约而同,simultaneously and without prior arrangement,JSON,['simultaneously and without prior arrangement']
逼不得已,have no choice but to; be forced to,JSON,"['have no choice but to', 'be forced to']"
而立之年,"the age of thirty, referring to the stage in life where one becomes more mature and established",JSON,"['the age of thirty, referring to the stage in life where one becomes more mature and established']"
一日千里,making rapid progress or advancing at an astonishing speed,JSON,['making rapid progress or advancing at an astonishing speed']
